"Name","Number","Version","Owner","Function","Sub-function","Functional organization","Infineon location","Container","Release date","Follow-up date","Document Type","Domain","Reviewed by","Approved by","Language","Legacy document number"
"On Job Training Instruction (BE)","Z8F80922517","B.3","hasibuan","Production","All","BE","Cegled, Wuxi, Bangkok, Melaka, Singapore, Kallang Way, Batam, Indonesia, Warstein, Max-Planck","cDtC_BE","2026-06-19T01:12:10+05:30","2028-06-19T01:12:10+05:30","Production: Procedure","Production Document","Chong Pei May (BE QM MAL QMS AD), Gulyas Attila (BE QM FPM CEG QMS), Ng Yu Ning Eileen (BE QM MP SIN QMS), Fan Shuangying (BE QM MP WUX QMS)","Lu Hua (BE QM MP WUX QMS), Cheah Wai Leong (BE QM MAL QMS), Tan Choong Kwang Roger (BE QM MP SIN QMS), Linuwari Yuyun (BE QM MP BAT QMS), Hasibuan Danny Rudy (BE QM MP BAT QMS DCC)","English",""
"OJTI for Line Maintenance for Automated Materials Handling System. (Skill Level 4)(TWI)","Z8F46859891","G.5","taibenwe","Production","Automation (AUT)","BE","Singapore, Kallang Way","cDtC_BE","2024-06-04T10:00:00+05:30","2028-06-04T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00001749"
"OJTI for Line Maintenance for Daifuku ASRS. (Skill Level 4)(TWI)","Z8F46859890","G.5","taibenwe","Production","Automation (AUT)","BE","Singapore, Kallang Way","cDtC_BE","2025-04-15T10:00:00+05:30","2028-05-20T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00001748"
"OJTI on Line Maintenance for Automated Material Storage System (Skill Level 4)(TWI)","Z8F46861310","B.5","behw","Production","Automation (AUT)","BE","Singapore, Kallang Way","cDtC_BE","2025-05-02T10:00:00+05:30","2027-12-09T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00009448"
"OJTI for AMHS Workflow Instructions at Subcon Store. (Skill Level 2)","Z8F46859896","E.4","zamri","Production","Automation (AUT), Storing","BE","Singapore, Kallang Way","cDtC_BE","2024-09-09T10:00:00+05:30","2028-03-29T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00001885"
"OJTI on Autonomous Mobile Robot (AMR) with Fixed Rack and Towing Mechanism. (Skill Level 2)(TWI)","Z8F46861526","A.7","behw","Production","Automation (AUT), Packing, Intelligent Burn In System (IBIS)","BE","Singapore, Kallang Way","cDtC_BE","2025-06-09T10:00:00+05:30","2028-01-12T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00009702"
"OJTI for AMHS Workflow Instructions at Burn-In. (Skill Level 2)(TWI)","Z8F46859894","E.5","aznin","Production","Automation (AUT), Intelligent Burn In System (IBIS)","BE","Singapore, Kallang Way","cDtC_BE","2024-06-04T10:00:00+05:30","2028-06-04T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00001883"
"OJTI for Line Maintenance for OHT Stocker (Skill Level 4)(TWI)","Z8F80874859","A.2","taibenwe","Production","Automation (AUT)","BE","Singapore, Kallang Way","cDtC_BE","2025-12-09T09:01:25+05:30","2027-12-09T09:01:25+05:30","Production: Procedure","Production Document","Hew Pow Teck (BE QM MP SIN QE QT), Huang Niam Cheong (BE FM SIN ESH), Yau Liv (BE SIN OP P FT O)","Foo Say Wee (BE SIN OP APE AE)","English",""
"OJTI Preventive Maintenance for Lights-Out E-Rack (ERK). (Skill Level 5)(TWI)","Z8F46861566","A.7","linyi","Production","Automation (AUT)","BE","Singapore, Kallang Way","cDtC_BE","2025-07-31T10:00:00+05:30","2028-03-07T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00009746"
"OJTI on Operating Procedures for Automated Materials Handling System. (Skill Level 2)(TWI)","Z8F46859889","L.8","behw","Production","Automation (AUT)","BE","Singapore, Kallang Way","cDtC_BE","2025-04-10T10:00:00+05:30","2028-04-11T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00001747"
"OJTI on Line Maintenance for Cooling Rack System. (Skill Level 4)(TWI)","Z8F46861309","A.6","behw","Production","Automation (AUT)","BE","Singapore, Kallang Way","cDtC_BE","2024-09-03T10:00:00+05:30","2028-08-04T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00009447"
"OJTI for AMHS Workflow Instructions at MSP. (Skill Level 2)(TWI)","Z8F46859895","E.7","seekuoki","Production","Automation (AUT), Packing","BE","Singapore, Kallang Way","cDtC_BE","2024-08-28T10:00:00+05:30","2028-03-03T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00001884"
"OJTI for Line Maintenance for Overhead Hoist Transport OHT (Skill Level 4)(TWI)","Z8F80873826","A.6","taibenwe","Production","Automation (AUT)","BE","Singapore, Kallang Way","cDtC_BE","2025-12-19T03:04:25+05:30","2027-12-19T03:04:25+05:30","Production: Procedure","Production Document","Huang Niam Cheong (BE FM SIN ESH), Hew Pow Teck (BE QM MP SIN QE QT), Yau Liv (BE SIN OP P FT O)","Foo Say Wee (BE SIN OP APE AE)","English",""
"OJTI for Operating Procedures for OHT Stocker (Skill Level 2)(TWI)","Z8F80875961","A.3","taibenwe","Production","Automation (AUT)","BE","Singapore, Kallang Way","cDtC_BE","2025-12-09T09:00:54+05:30","2027-12-09T09:00:54+05:30","Production: Procedure","Production Document","Hew Pow Teck (BE QM MP SIN QE QT), Huang Niam Cheong (BE FM SIN ESH), Yau Liv (BE SIN OP P FT O)","Foo Say Wee (BE SIN OP APE AE)","English",""
"OJTI for Line Maintenance for Strapping Unstrapping Module & E-Rack. (Skill Level 4)(TWI)","Z8F46861176","D.5","linyi","Production","Automation (AUT)","BE","Singapore, Kallang Way","cDtC_BE","2025-07-23T10:00:00+05:30","2027-12-06T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00009264"
"OJTI for Line Maintenance for Autonomous Mobile Robot (AMR). (Skill Level 4)(TWI)","Z8F46861177","C.5","linyi","Production","Automation (AUT)","BE","Singapore, Kallang Way","cDtC_BE","2025-04-03T10:00:00+05:30","2028-07-08T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00009265"
